,matchId,contestantId,timeMin,timeMinSec,type,scorerId
0,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,41,40:58,G,51mu62nt2yufzzi9qt45e3cnp
1,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,57,56:46,G,5io2106rxpshzsc39qigm1nth
2,16ziqpcwrfxykpgdo1cz3oj6c,59d4d2m78t2lqabd1m7o90std,76,75:39,G,1udhwk2qkh23pl0vykuj8m7rp
3,16ziqpcwrfxykpgdo1cz3oj6c,4y5xl8r1nkg1n9hnjzo53v8xk,83,82:47,G,dzvs8zk8j4rgbda6thqtserfu
4,e9hmyaml8l8lvehcm4vtgffxm,1iy5a1mzucfenathcnlhmp95a,5,4:59,G,euhin21cqzflsv1vcedt7ew2d
5,e9hmyaml8l8lvehcm4vtgffxm,cpqaizhc99tbsqm6h2cgampio,14,13:35,OG,brygiblt5qpvwqyxp8plebc9h
6,e9hmyaml8l8lvehcm4vtgffxm,cpqaizhc99tbsqm6h2cgampio,21,20:35,G,6ovbzzxyqz4b17scxmkisnvth
7,e9hmyaml8l8lvehcm4vtgffxm,1iy5a1mzucfenathcnlhmp95a,43,42:01,G,5m7gtqlmb66jcwhqmfebt46vp
8,e9hmyaml8l8lvehcm4vtgffxm,cpqaizhc99tbsqm6h2cgampio,50,49:21,PG,748h26tk6u48g3iwpcwjsbe8l
9,e9hmyaml8l8lvehcm4vtgffxm,1iy5a1mzucfenathcnlhmp95a,54,54:00,G,65udjcug6sgbcb0wtuvbixu51
10,e9hmyaml8l8lvehcm4vtgffxm,cpqaizhc99tbsqm6h2cgampio,66,65:21,G,2mv48xbwjnyqclrsgn2oedtjp
11,e9hmyaml8l8lvehcm4vtgffxm,cpqaizhc99tbsqm6h2cgampio,97,96:38,PG,72s5nyjuxb6ydlq4kdybz3get
12,35uxmvta1p7xfwsj4de7w16cq,7gkwmrw0cjz0m168ouw00z4gy,14,13:25,G,d3swiv7qjcdrnf2i6y5egz6qd
13,35uxmvta1p7xfwsj4de7w16cq,8rpjhpm2j1q7p40zfmlqpj8am,51,50:29,G,50pzs8ih772n4u1dvuquf05w5
14,35uxmvta1p7xfwsj4de7w16cq,7gkwmrw0cjz0m168ouw00z4gy,65,64:13,G,4s0cgwchahxqfowf7v1edb5cl
15,35uxmvta1p7xfwsj4de7w16cq,8rpjhpm2j1q7p40zfmlqpj8am,81,80:18,G,ea0e11ky6morei5ajpeamfwmh
16,35uxmvta1p7xfwsj4de7w16cq,7gkwmrw0cjz0m168ouw00z4gy,92,91:25,G,bhu3hiq2ln2cso48ndqe17bvt
17,2llzoi9rg31t76n45t85znlzo,bd1veyn5g4r8zbaquf8b8pksp,7,6:19,G,dcwh4wtli8nm8jzmmbe8q9xx
18,2llzoi9rg31t76n45t85znlzo,4y5xl8r1nkg1n9hnjzo53v8xk,26,25:31,G,5io2106rxpshzsc39qigm1nth
19,2llzoi9rg31t76n45t85znlzo,bd1veyn5g4r8zbaquf8b8pksp,49,48:45,G,dy08mj43eioa2zt491zm965ii
20,2llzoi9rg31t76n45t85znlzo,4y5xl8r1nkg1n9hnjzo53v8xk,52,51:16,G,51mu62nt2yufzzi9qt45e3cnp
21,e483wx49hik12tglkjcj3z4ve,7gkwmrw0cjz0m168ouw00z4gy,46,45:17,G,7qinj1hp24xlzrp40lji1r3rp
22,e483wx49hik12tglkjcj3z4ve,9dqkgu00tn42928lrrxlis95a,48,47:48,G,3kgj8qv3krm0g4u8eidfdw0r9
23,e483wx49hik12tglkjcj3z4ve,9dqkgu00tn42928lrrxlis95a,51,50:46,G,dhy4u5ea6vtob2g2ugvzrn93p
24,e483wx49hik12tglkjcj3z4ve,7gkwmrw0cjz0m168ouw00z4gy,72,71:11,PG,3k8wr5chjtaakdyyftcqpak0l
25,6yulwht5v41j7ks1pd8jgc296,4y5xl8r1nkg1n9hnjzo53v8xk,66,65:17,PG,51mu62nt2yufzzi9qt45e3cnp
26,6yulwht5v41j7ks1pd8jgc296,bd1veyn5g4r8zbaquf8b8pksp,76,75:08,G,755nyk97op1dyuqql7ip8t08a
27,6yulwht5v41j7ks1pd8jgc296,bd1veyn5g4r8zbaquf8b8pksp,89,88:36,PG,napvicstt332tuhec6iyx5n9
28,9ojvxqa64pgu8jjuloey2ymwa,8puc16dm0ut6bvv6u6ivpe2ch,84,83:25,G,adh3gj9e2avq8j3ib8kbfjw7p
29,18ygbx2z2q3pesbr1ljpxiru2,eizgmllil1zrzpk6zbue0hl7m,21,20:25,PG,sq3mptpiqr5b85q0jiw12nkl
30,18ygbx2z2q3pesbr1ljpxiru2,59d4d2m78t2lqabd1m7o90std,24,23:01,G,brkd7vi8zwf9oc1xhncco4mei
31,18ygbx2z2q3pesbr1ljpxiru2,59d4d2m78t2lqabd1m7o90std,61,60:38,G,3hwd7jyifs3dei1mhpbdzx68l
32,18ygbx2z2q3pesbr1ljpxiru2,59d4d2m78t2lqabd1m7o90std,64,63:30,G,1udhwk2qkh23pl0vykuj8m7rp
33,18ygbx2z2q3pesbr1ljpxiru2,59d4d2m78t2lqabd1m7o90std,72,71:37,G,as7z3zymiedo4zip710ckhdxx
34,8gqoke3u7ctdhwynfiryu6xp0,4y5xl8r1nkg1n9hnjzo53v8xk,33,32:50,G,59oi89awh1na996h27otd1905
35,8gqoke3u7ctdhwynfiryu6xp0,4y5xl8r1nkg1n9hnjzo53v8xk,86,85:31,G,51mu62nt2yufzzi9qt45e3cnp
36,71urz6or373xk6iwl09hvly0a,cdj7tqbsake4a0ks5pwm23t23,8,7:51,G,epfwjk84jo741igp7fxe4c2qd
37,71urz6or373xk6iwl09hvly0a,cdj7tqbsake4a0ks5pwm23t23,36,35:24,G,5suxy8zywnnbalcujii6srdre
38,9pvq78gijvvhyyc6ujqjf6g6i,bw2py3aiws1rq61pokete3kv2,14,13:53,G,eiedn3v0jovrp94o5gm3aob85
39,9pvq78gijvvhyyc6ujqjf6g6i,2nxp7ufclxwbtaozvx5zj1zym,54,53:58,G,7i7ndyzz4xyarc47kcz2wpped
40,9pvq78gijvvhyyc6ujqjf6g6i,bw2py3aiws1rq61pokete3kv2,70,69:34,G,4zoh16h4bim3680g90nmnfb2t
41,17et6fhgyf6mzhey69rfuhd04,ehsvy9m92bp6ktgoy6pwv8rdm,10,9:41,G,2ir7ctowdenj07bq50l20wq8l
42,17et6fhgyf6mzhey69rfuhd04,1iy5a1mzucfenathcnlhmp95a,46,45:44,G,2ztfs9tfd4ztq5fleycxf11t6
43,17et6fhgyf6mzhey69rfuhd04,1iy5a1mzucfenathcnlhmp95a,64,63:39,OG,6ft1b49m92zwa7y7yqqprm5lh
44,e3vkr08m8zbsa20k90v2gmvsa,2nxp7ufclxwbtaozvx5zj1zym,16,15:47,PG,didi62zdit4vtyfye0qxw7105
45,e3vkr08m8zbsa20k90v2gmvsa,cpqaizhc99tbsqm6h2cgampio,39,38:04,PG,2mv48xbwjnyqclrsgn2oedtjp
46,9oemkgs5xvboxpfmt3b1ffjai,hfu6x1260h62zj7xl6cn95hx,71,70:16,G,b44ryatcd56jc71lloj2u3lcl
47,6xh7e6om0s7btpyvxdqjn8iga,8rpjhpm2j1q7p40zfmlqpj8am,8,7:54,PG,50pzs8ih772n4u1dvuquf05w5
48,6xh7e6om0s7btpyvxdqjn8iga,1zsb1ovzidi8rft1vzw4me71m,16,15:17,G,e9ku3q311eg5t8lrxfcof65m1
49,6xh7e6om0s7btpyvxdqjn8iga,8rpjhpm2j1q7p40zfmlqpj8am,80,79:26,G,50pzs8ih772n4u1dvuquf05w5
50,60mfls8gz3i03rm7ngwt2nsic,7gkwmrw0cjz0m168ouw00z4gy,6,5:24,G,4zi6eeqn2stbyebxwfwqhozx1
51,60mfls8gz3i03rm7ngwt2nsic,1f72vqlndphmzn45x0nhdqk3e,13,12:24,G,2ddf8xxnqz6tehsqw5cg5x0b9
52,60mfls8gz3i03rm7ngwt2nsic,7gkwmrw0cjz0m168ouw00z4gy,28,27:55,G,4zi6eeqn2stbyebxwfwqhozx1
53,60mfls8gz3i03rm7ngwt2nsic,7gkwmrw0cjz0m168ouw00z4gy,32,31:59,G,5hjsl94zct7s9kakzo0avb845
54,60mfls8gz3i03rm7ngwt2nsic,1f72vqlndphmzn45x0nhdqk3e,55,54:57,G,aoz0966dxup25pg67nhvkszx1
55,60mfls8gz3i03rm7ngwt2nsic,7gkwmrw0cjz0m168ouw00z4gy,59,58:05,G,9ng3r1au4q01ixq42sfn9x3h1
56,60mfls8gz3i03rm7ngwt2nsic,1f72vqlndphmzn45x0nhdqk3e,81,80:21,G,egg8yn20s67x5awg9qupjrv9
57,60mfls8gz3i03rm7ngwt2nsic,7gkwmrw0cjz0m168ouw00z4gy,90,89:40,PG,7qinj1hp24xlzrp40lji1r3rp
58,8hlp7dbw7l4qoru8xyhrslhxw,1f72vqlndphmzn45x0nhdqk3e,22,21:32,G,21yxomlpwzh54k7tivw3j457u
59,8hlp7dbw7l4qoru8xyhrslhxw,1f72vqlndphmzn45x0nhdqk3e,24,23:58,G,21yxomlpwzh54k7tivw3j457u
60,8hlp7dbw7l4qoru8xyhrslhxw,hfu6x1260h62zj7xl6cn95hx,65,64:58,PG,9syjo8gdmcsdv5czc1e8w4xxx
61,8hlp7dbw7l4qoru8xyhrslhxw,1f72vqlndphmzn45x0nhdqk3e,100,99:43,G,7xoqoy27popsl2g8irqw9mz85
62,17aseptr0oghkdrecis5a2uqc,9dqkgu00tn42928lrrxlis95a,51,50:34,PG,3kgj8qv3krm0g4u8eidfdw0r9
63,17aseptr0oghkdrecis5a2uqc,1zsb1ovzidi8rft1vzw4me71m,64,63:52,G,1psp77of8z48io79kj56h0ez9
64,17aseptr0oghkdrecis5a2uqc,1zsb1ovzidi8rft1vzw4me71m,96,95:29,PG,bvi7qxhjj54wje1qm709065ed
65,e9axi9mf196lpaqeizu8nbqlm,7gkwmrw0cjz0m168ouw00z4gy,86,85:49,G,3k8wr5chjtaakdyyftcqpak0l
66,6102amel9f7hdouijnqtxtlas,1iy5a1mzucfenathcnlhmp95a,28,27:34,G,euhin21cqzflsv1vcedt7ew2d
67,6102amel9f7hdouijnqtxtlas,4y5xl8r1nkg1n9hnjzo53v8xk,56,55:08,G,5io2106rxpshzsc39qigm1nth
68,6xz3yiwldqt1w7aqvq1xeicmi,7gkwmrw0cjz0m168ouw00z4gy,26,25:47,G,d3swiv7qjcdrnf2i6y5egz6qd
69,6xz3yiwldqt1w7aqvq1xeicmi,1f72vqlndphmzn45x0nhdqk3e,35,34:57,PG,8davjer5vpeg0pa07h5mszzyt
70,6xz3yiwldqt1w7aqvq1xeicmi,7gkwmrw0cjz0m168ouw00z4gy,45,44:07,G,7qinj1hp24xlzrp40lji1r3rp
71,6xz3yiwldqt1w7aqvq1xeicmi,7gkwmrw0cjz0m168ouw00z4gy,79,78:33,G,7qinj1hp24xlzrp40lji1r3rp
72,6xz3yiwldqt1w7aqvq1xeicmi,1f72vqlndphmzn45x0nhdqk3e,92,91:46,G,1pxq5s6wcmaf31abep37buz85
73,9otzyoawtogytbhzdg1jyjlnu,7gkwmrw0cjz0m168ouw00z4gy,26,25:07,PG,3k8wr5chjtaakdyyftcqpak0l
74,9otzyoawtogytbhzdg1jyjlnu,7gkwmrw0cjz0m168ouw00z4gy,37,36:22,G,7qinj1hp24xlzrp40lji1r3rp
75,9otzyoawtogytbhzdg1jyjlnu,4wb893al733feakm9teqqqnlg,48,47:09,G,c8kksze0li7ndudwsxusykamt
76,9otzyoawtogytbhzdg1jyjlnu,7gkwmrw0cjz0m168ouw00z4gy,61,60:52,G,d3swiv7qjcdrnf2i6y5egz6qd
77,bf2bjt3l2nkkesrykjnkd66ay,hfu6x1260h62zj7xl6cn95hx,75,74:07,G,cqukkxc9c4iowy3tydreue7rp
78,2lt3n7w69agx5dtse95x4q2ac,8rpjhpm2j1q7p40zfmlqpj8am,82,81:36,G,b9b44wsl4d24yps6luijnhgix
79,e3zaw2rsfywquz83q5hhubxwq,cdj7tqbsake4a0ks5pwm23t23,22,21:20,G,epfwjk84jo741igp7fxe4c2qd
80,e3zaw2rsfywquz83q5hhubxwq,1iy5a1mzucfenathcnlhmp95a,48,47:21,G,5m7gtqlmb66jcwhqmfebt46vp
81,e3zaw2rsfywquz83q5hhubxwq,1iy5a1mzucfenathcnlhmp95a,55,54:41,G,65udjcug6sgbcb0wtuvbixu51
82,e3zaw2rsfywquz83q5hhubxwq,1iy5a1mzucfenathcnlhmp95a,81,80:24,G,5m7gtqlmb66jcwhqmfebt46vp
83,70sp712dzozu83zn19ndxgktm,1iy5a1mzucfenathcnlhmp95a,57,56:07,G,5m7gtqlmb66jcwhqmfebt46vp
84,70sp712dzozu83zn19ndxgktm,4y5xl8r1nkg1n9hnjzo53v8xk,62,61:28,G,97gp4aptxwufrcjui83bp9qs5
85,70sp712dzozu83zn19ndxgktm,1iy5a1mzucfenathcnlhmp95a,71,70:07,G,dtck8v3ab0lysshn7yd0bvjs9
86,70sp712dzozu83zn19ndxgktm,1iy5a1mzucfenathcnlhmp95a,93,92:26,PG,b9zm1s1sjespi01z9v3bwnkr9
87,70sp712dzozu83zn19ndxgktm,4y5xl8r1nkg1n9hnjzo53v8xk,97,96:21,PG,51mu62nt2yufzzi9qt45e3cnp
88,6yp59qgbocjekewamezodeiju,eizgmllil1zrzpk6zbue0hl7m,18,17:43,G,7oqj9f7v7ev94cll5wq1u2h1x
89,6yp59qgbocjekewamezodeiju,9dqkgu00tn42928lrrxlis95a,22,21:39,G,bm5597reki0q7wci85322cixh
90,35obr9fepwmogw4nbakmxa2vo,1iy5a1mzucfenathcnlhmp95a,6,5:39,G,5m7gtqlmb66jcwhqmfebt46vp
91,35obr9fepwmogw4nbakmxa2vo,1iy5a1mzucfenathcnlhmp95a,43,42:35,G,b9zm1s1sjespi01z9v3bwnkr9
92,35obr9fepwmogw4nbakmxa2vo,1iy5a1mzucfenathcnlhmp95a,49,48:53,G,5m7gtqlmb66jcwhqmfebt46vp
93,35obr9fepwmogw4nbakmxa2vo,hfu6x1260h62zj7xl6cn95hx,54,53:43,G,cb0h8bwynp5m7ijxiem6xtsyx
94,35obr9fepwmogw4nbakmxa2vo,hfu6x1260h62zj7xl6cn95hx,67,66:33,G,cb0h8bwynp5m7ijxiem6xtsyx
95,71jxvrc1ooae2mjmljls44aju,eizgmllil1zrzpk6zbue0hl7m,29,28:46,G,8jiug6aq1plhdoc07u3fem6l1
96,71jxvrc1ooae2mjmljls44aju,eizgmllil1zrzpk6zbue0hl7m,44,43:26,G,7oqj9f7v7ev94cll5wq1u2h1x
97,71jxvrc1ooae2mjmljls44aju,eizgmllil1zrzpk6zbue0hl7m,83,82:46,G,6ux0eepmo87ypark4owl95b6d
98,71jxvrc1ooae2mjmljls44aju,eizgmllil1zrzpk6zbue0hl7m,94,93:35,G,888s3939roy7s3aq01ehh5vpx
99,e9181nqzwbsc9ay94j8z0xkkq,cdj7tqbsake4a0ks5pwm23t23,29,28:27,G,r2qjdlnjtjagkm5m1v1ulck5
100,e9181nqzwbsc9ay94j8z0xkkq,cdj7tqbsake4a0ks5pwm23t23,51,50:09,G,epfwjk84jo741igp7fxe4c2qd
101,e9181nqzwbsc9ay94j8z0xkkq,8puc16dm0ut6bvv6u6ivpe2ch,79,78:08,G,em2957qngzi3thmrksunwe9qt
102,e9181nqzwbsc9ay94j8z0xkkq,8puc16dm0ut6bvv6u6ivpe2ch,89,88:28,G,drtoqm93lulssafz5z6rpavv9
103,6ycf7lvmrxbmwgdt933n6xw16,bw2py3aiws1rq61pokete3kv2,53,52:27,G,b3gzwpdhc43oz9u4ihkqgug2d
104,6ycf7lvmrxbmwgdt933n6xw16,cpqaizhc99tbsqm6h2cgampio,60,59:22,G,748h26tk6u48g3iwpcwjsbe8l
105,6ycf7lvmrxbmwgdt933n6xw16,cpqaizhc99tbsqm6h2cgampio,82,81:19,PG,2mv48xbwjnyqclrsgn2oedtjp
106,6z0obwx9bj45vvmfcms5x1x0q,1f72vqlndphmzn45x0nhdqk3e,38,37:41,PG,2ddf8xxnqz6tehsqw5cg5x0b9
107,6z0obwx9bj45vvmfcms5x1x0q,1f72vqlndphmzn45x0nhdqk3e,45,44:56,G,8davjer5vpeg0pa07h5mszzyt
108,6z0obwx9bj45vvmfcms5x1x0q,1f72vqlndphmzn45x0nhdqk3e,54,53:39,G,8q8f0c9hgtv9ibnkburojxyp5
109,6z0obwx9bj45vvmfcms5x1x0q,1f72vqlndphmzn45x0nhdqk3e,91,90:44,G,2ddf8xxnqz6tehsqw5cg5x0b9
110,24t4j91j08jwqua5w8c8t69gq,4wb893al733feakm9teqqqnlg,11,10:43,G,2mg31e4otqxsqhnsmbhphu0ut
111,24t4j91j08jwqua5w8c8t69gq,4y5xl8r1nkg1n9hnjzo53v8xk,23,22:03,G,a7twiics4lxbx3cmji98he2fp
112,70mvvny3df877fwgwzj6cwne2,4wb893al733feakm9teqqqnlg,56,55:16,G,4amvjmzixl30pg91ep6b9xhx
113,8gkyitpbqu4gncbasn4y845qs,4wb893al733feakm9teqqqnlg,14,13:25,G,gr9yavamkh4wlc9tk0x4355h
114,8gkyitpbqu4gncbasn4y845qs,4wb893al733feakm9teqqqnlg,66,65:07,G,34x6eabrx5t9one9q6ifwtyp5
115,8gg6o7zfkx7mz7vq1xn82m238,8rpjhpm2j1q7p40zfmlqpj8am,18,17:42,G,95pzzekgfm9589ip2fomr3lxx
116,8gg6o7zfkx7mz7vq1xn82m238,bd1veyn5g4r8zbaquf8b8pksp,50,49:28,G,ch24btk29fxkdm14rzea7igdm
117,8gg6o7zfkx7mz7vq1xn82m238,8rpjhpm2j1q7p40zfmlqpj8am,53,52:30,G,4lavermlnoyl8wqjkwpx5uytx
118,8gg6o7zfkx7mz7vq1xn82m238,bd1veyn5g4r8zbaquf8b8pksp,82,81:14,G,5ubpbn6j49ob3rmfq4ac356tx
119,18ofwh6krv57uot3vmtym6iqy,4y5xl8r1nkg1n9hnjzo53v8xk,27,26:26,G,de4yoz1uwu3b99x2af0pw85bd
120,18ofwh6krv57uot3vmtym6iqy,9dqkgu00tn42928lrrxlis95a,71,70:19,PG,eueky9584m8m3qselgg3be4et
121,18ofwh6krv57uot3vmtym6iqy,9dqkgu00tn42928lrrxlis95a,93,92:46,G,dhy4u5ea6vtob2g2ugvzrn93p
122,6yilqf9wqaytloo1ufvvems8a,1zsb1ovzidi8rft1vzw4me71m,42,41:08,PG,2f5shtl4n0z0thj4h1sz13zrp
123,6yilqf9wqaytloo1ufvvems8a,cdj7tqbsake4a0ks5pwm23t23,67,66:52,PG,m1lbmlled2xtj2ilk4oiyrc9
124,6yilqf9wqaytloo1ufvvems8a,cdj7tqbsake4a0ks5pwm23t23,73,72:05,G,5suxy8zywnnbalcujii6srdre
125,bevmy56p5istuapyutredlrai,9dqkgu00tn42928lrrxlis95a,22,21:04,G,3kgj8qv3krm0g4u8eidfdw0r9
126,bevmy56p5istuapyutredlrai,9dqkgu00tn42928lrrxlis95a,78,77:05,G,cjmai4tgydff5g6ykyrclt8et
127,bevmy56p5istuapyutredlrai,1zsb1ovzidi8rft1vzw4me71m,82,81:46,G,9ynfb3x8vdydd82128cppk8gl
128,bevmy56p5istuapyutredlrai,1zsb1ovzidi8rft1vzw4me71m,92,91:11,G,e9ku3q311eg5t8lrxfcof65m1
129,2lqt518z1rawccx8zc9dof5lg,9dqkgu00tn42928lrrxlis95a,22,21:04,G,3kgj8qv3krm0g4u8eidfdw0r9
130,2lqt518z1rawccx8zc9dof5lg,1f72vqlndphmzn45x0nhdqk3e,24,23:59,G,2ddf8xxnqz6tehsqw5cg5x0b9
131,e8ew00ocdykl8753d7aqzq0yy,4wb893al733feakm9teqqqnlg,54,53:50,PG,4amvjmzixl30pg91ep6b9xhx
132,9pcxu7kk2foxef6vi5x4vmr8q,1iy5a1mzucfenathcnlhmp95a,47,46:49,G,65udjcug6sgbcb0wtuvbixu51
